"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"30894","A24639914","Luna","12/24/2012","Dog","Alaskan Klee Kai","Black / White","Yes / Female","9553","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","9/19/2013","9/19/2016",""
"30897","A24578932","Maggie","6/16/2013","Dog","Weimaraner / Rhodesian Ridgeback","Brown","Yes / Female","9579","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","11/14/2014","11/14/2017",""
"30900","A24360181","Nyla","11/19/2013","Dog","Boxer / Mix","Brindle","Yes / Female","3438","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30903","A24323231","Gus","11/14/2011","Dog","Retriever, Labrador / Mix","Yellow","No / Male","10387","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30906","A24240053","Brucie","11/3/2008","Dog","Spaniel / Mix","Black / White","Yes / Male","9719","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30909","A22688884","Franny","1/14/2001","Dog","Border Collie / Mix","Black / White","Yes / Female","3439","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/22/2013","6/22/2016",""
"30912","A22688984","Molly Brown","1/14/2011","Dog","Schnauzer, Standard / Mix","Brown","Yes / Female","3440","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/24/2014","6/24/2017",""
"30915","A22689334","Coco","5/13/2009","Dog","Terrier, Yorkshire / Shih Tzu","Blond","Yes / Female","4985","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","6/22/2013","6/22/2016",""
"30918","A22642824","Salaam","5/7/2003","Dog","Retriever, Labrador / Chow Chow","Black","Yes / Male","4745","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","9/28/2013","9/28/2016",""
"30921","A22556805","Rocky","4/28/2009","Dog","Poodle, Miniature / Mix","White","Yes / Male","3709","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","7/18/2013","7/18/2016",""
"30924","A22656864","Brody","11/7/2012","Dog","Boxer / Mix","Brown / Tan","Yes / Male","4792","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","11/16/2013","11/16/2016",""
"30927","A22656096","Sheba","5/8/2006","Dog","Beagle","Black / White","Yes / Female","4786","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2014","No","LIC Rabies","11/9/2013","11/9/2016",""
"30930","A24416301","Hunter","1/28/2014","Dog","Maltese / Mix","Tan","Yes / Male","11301","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30933","A23797842","Cashew","9/9/2009","Dog","Retriever, Labrador / Shepherd","Tan","Yes / Female","6455","Inactive","3/1/2016 1:15:43 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","*Rabies","3/1/2016","3/1/2017","Kevin McLaughlin"
"30936","A14374360","Zeus","4/26/2010","Dog","Boerboel","Fawn","No / Male","3451","Current","6/29/2015 11:01:07 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/29/2016","Yes","LIC Rabies","6/29/2015","","SPAY/NEUTER CLINIC"
"30939","A13501829","Goldie","7/24/2004","Dog","Terrier, Pit Bull / Mix","Golden","Yes / Male","6398","Current","6/30/2015 1:17:24 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2016","No","LIC Rabies","7/24/2014","7/24/2017",""
"30942","A23998109","Colin","10/3/2010","Dog","Beagle / Mix","Brown","Yes / Male","3535","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/13/2016","No","","","",""
"30945","A24676127","Charlie","1/1/2001","Dog","Dachshund, Standard Long Haired / Mix","Black / Tan","Yes / Male","6731","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","8/1/2014","8/1/2017","Jacinta Burgess"
"30948","A24497792","Kira","9/10/2014","Dog","Terrier, American Staffordshire / Mix","Black / Brindle","Yes / Female","6584","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30951","A19647407","Camry","11/2/2003","Dog","Collie, Rough / Shepherd","Tan / Black","Yes / Female","11084","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","Yes","","","",""
"30954","A20681602","Cooper","8/9/2010","Dog","Terrier, Pit Bull / Mix","Brindle","Yes / Male","3479","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","7/19/2014","",""
"30957","A24641659","Peanut","12/24/2010","Dog","Spaniel / Mix","Brown / White","Yes / Female","65805457","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/1/2016","Yes","","","",""
"30960","A24645178","Savanna","12/28/2006","Dog","Spaniel, American Cocker / Mix","Black","Yes / Female","6577","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"30963","A24756994","Deliah","1/13/2011","Dog","Schnauzer, Miniature / Mix","Black / White","Yes / Female","3464","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","7/10/2014","",""
"30966","A24757235","Princess Leia","1/13/2013","Dog","Terrier, Pit Bull / Mix","Black / White","Yes / Female","3471","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","11/19/2013","",""
"30969","A24757845","Bella","1/13/2010","Dog","Pomeranian / Mix","Brown","Yes / Female","4566","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/24/2014","",""
"30972","A18692165","Piedra","4/9/2012","Dog","Terrier, Pit Bull / Mix","Black / Bronze","Yes / Female","6318","Current","6/28/2015 5:00:14 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/28/2016","Yes","LIC Rabies","11/13/2013","11/13/2016",""
"30975","A24347453","Frankie","11/18/2013","Dog","Griffon, Brussels / Mix","Grey","Yes / Male","6618","Current","6/26/2015 9:48:23 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/26/2016","No","","","",""
"30978","A24333950","Strawberri","2/6/2014","Dog","Chihuahua, Short Coat / Terrier","Black / White","Yes / Female","7207","Expired","6/13/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/13/2016","No","","","",""
"30981","A01233364","Andrea","7/7/2002","Dog","Terrier, Pit Bull / German Shepherd","Fawn / Cream","Yes / Female","6732","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"30984","A11695255","Blue","7/19/2010","Dog","Terrier, Pit Bull","Grey / White","Yes / Male","6734","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/3/2016","No","LIC Rabies","4/8/2013","",""
"30987","A24687986","Isis","1/3/2012","Dog","Poodle, Miniature / Mix","Black / Grey","Yes / Female","6735","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/5/2016","No","","","",""
"30990","A24742397","Arnold","1/10/2003","Dog","Beagle / Mix","Black / Brown / White","Yes / Male","6746","Inactive","10/12/2015 1:22:57 PM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","LIC Rabies","7/16/2015","7/16/2018",""
"30993","A16593770","Cody","6/28/2009","Dog","German Shepherd","Black / Tan","Yes / Male","6184","Current","8/8/2015 3:00:51 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","8/8/2016","Yes","","","",""
"30996","A22398824","Pudgy","4/6/2010","Dog","Beagle","White / Brown","Yes / Male","7232","Current","6/29/2015 1:04:00 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/29/2016","Yes","LIC Rabies","5/20/2014","5/20/2017",""
"30999","A24063002","Nino","12/12/2013","Dog","Terrier, American Staffordshire / Retriever, Labrador","Brown / White","Yes / Male","7219","Current","6/24/2015 5:01:00 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/24/2016","No","","","",""
"31002","A24069114","Domino","3/12/2014","Dog","Spaniel / Mix","White / Black","Yes / Male","6575","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31005","A24667220","Bean","6/30/2013","Dog","Retriever, Labrador / Mix","Black","No / Male","6738","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","5/29/2014","5/29/2017",""
"31008","A24706369","Barley","5/31/2013","Dog","Terrier / Mix","Black / Brown","Yes / Male","6737","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31011","A24735074","Woody","10/30/2006","Dog","Spaniel, American Cocker / Poodle, Miniature","Black","Yes / Male","6744","Inactive","6/29/2015 11:03:54 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","4/3/2015","4/3/2020",""
"31014","A20315716","Jupiter","5/23/2009","Dog","Great Dane / Mix","Black","Yes / Male","8943","Current","5/23/2016 8:52:45 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","5/23/2017","No","LIC Rabies","5/18/2014","5/18/2017",""
"31017","A28259492","Milo","9/2/2012","Dog","Terrier, American Pit Bull / Mix","Brown / White","Yes / Male","6093","Current","7/12/2015 11:17:30 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","7/12/2016","No","*Rabies","7/12/2015","7/12/2016","Aubrey Batten"
"31020","A22867081","Joker","6/2/2006","Dog","Schnauzer, Miniature / Terrier","Black / Grey","No / Male","6092","Current","10/10/2015 1:13:43 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","10/10/2016","No","*Rabies","10/10/2015","10/10/2016",""
"31023","A24609597","EJ","12/19/2008","Dog","Maltese / Mix","White","Yes / Male","6581","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/1/2016","No","","","",""
"31026","A24680876","Booker","1/2/2009","Dog","Terrier, Staffordshire Bull / Mix","Black / White","Yes / Male","6733","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31029","A24167547","Bailey","10/24/2013","Dog","Terrier, Staffordshire Bull / Mix","White / Chocolate","Yes / Female","6576","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31032","A24687998","King","9/4/2013","Dog","Terrier, Yorkshire / Mix","Tan","Yes / Male","6736","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31035","A20197023","Missy","6/20/2012","Dog","Terrier, Yorkshire / Mix","Black / Tan","Yes / Female","7098","Expired","6/6/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/6/2016","Yes","","","",""
"31038","A20660107","Frankie","2/6/2013","Dog","Hound / Mix","Black / White","Yes / Male","6599","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31041","A14554810","Powder","5/22/2011","Dog","Terrier, Pit Bull / Mix","White","Yes / Male","6302","Current","7/7/2015 1:21:33 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","7/7/2016","Yes","","","",""
"31044","A27923888","Rocket","11/10/2009","Dog","Poodle, Miniature / Mix","White","Yes / Male","7079","Current","5/30/2015 9:42:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2016","No","LIC Rabies","10/29/2014","","Danielle Shawen"
"31047","A24518733","Eeyore","12/14/2012","Dog","Terrier, Cairn / Terrier, Border","Grey / White","Yes / Female","6582","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31050","A24708077","Nabiya","6/15/2012","Dog","Terrier, Jack Russell / Mix","White / Brown","Yes / Female","3555","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/5/2016","No","LIC Rabies","8/26/2013","8/26/2016",""
"31053","A24761093","Mishti","1/13/2014","Dog","Pharaoh Hound / Mix","Yellow","No / Female","4144","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","3/8/2014","3/8/2017",""
"31056","A24761714","Rocky","1/13/2011","Dog","Catahoula Leopard dog / Mix","Brown","Yes / Male","10813","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/13/2016","No","","","",""
"31059","A24762234","Casper","1/13/2013","Dog","German Shepherd / Mix","Black / Tan","Yes / Male","10816","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","11/5/2013","11/5/2016",""
"31062","A24670319","Casper","5/31/2014","Dog","Argentine Dogo / Mix","White / Tan","Yes / Male","6566","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31065","A24673746","Fiddle","12/31/2013","Dog","Poodle, Miniature / Mix","White","Yes / Male","6567","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31068","A24768975","Duncan","1/14/2014","Dog","Shepherd / Mix","Black / Brown","Yes / Male","3446","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31071","A24757768","Princess","1/13/2009","Dog","Miniature Pinscher / Mix","Black","Yes / Female","3472","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","7/12/2014","",""
"31074","A24760895","Crayon","1/13/2011","Dog","Terrier / Mix","Tan / Black","Yes / Male","4145","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31077","A24762433","Nellie","9/23/2014","Dog","Poodle, Toy / Mix","Buff","Yes / Female","10817","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31080","A24765803","Aussie","1/14/2014","Dog","Pointer, German Shorthaired / Mix","Black / White","Yes / Female","3419","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/14/2014","6/14/2017",""
"31083","A24766243","Buster","1/14/2009","Dog","Chihuahua, Long Coat / Mix","Black / Brown","Yes / Male","3423","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/14/2016","No","LIC Rabies","6/14/2014","6/14/2017",""
"31086","A24774096","Red","7/15/2014","Dog","Spaniel, Cavalier King Charles / Mix","Bronze / White","Yes / Male","10547","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31089","A24727319","Adam","","Dog","Bulldog, French / Mix","White / Brindle","Yes / Male","6741","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31092","A24757087","Jojo Rico","1/13/2014","Dog","Terrier, Pit Bull / Mix","Brindle","Yes / Male","3463","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","9/5/2013","",""
"31095","A24757980","Nyla","1/13/2004","Dog","Pomeranian / Mix","Black","Yes / Female","4565","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","3/30/2014","",""
"31098","A24759518","Shai","7/13/2014","Dog","Terrier / Mix","Brindle / White","Yes / Female","3475","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","4/26/2014","",""
"31101","A24762070","Pippin","1/13/2013","Dog","Hound / Pointer","Brindle","Yes / Male","10815","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31104","A22563176","Baxter","4/29/2009","Dog","Beagle / Mix","Black / Tan","Yes / Male","6573","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31107","A24489684","Shimmer","10/9/2014","Dog","Terrier, American Staffordshire / Mix","White / Grey","Yes / Female","4929","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/6/2016","No","","","",""
"31110","A24760820","Fletch","1/13/2009","Dog","Retriever, Golden / Mix","Blond","Yes / Male","4146","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31113","A24762855","Pau","8/13/2014","Dog","Retriever, Golden / Mix","Cream","Yes / Male","10369","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31116","A24765732","Nittany","1/14/2011","Dog","Retriever, Labrador / Mix","Black","No / Male","3422","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/14/2016","No","LIC Rabies","6/14/2014","6/14/2017",""
"31119","A24760219","Emmitt","1/13/2012","Dog","Retriever, Labrador / Mix","Fawn","Yes / Male","4151","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","10/26/2012","",""
"31122","A24761301","Patch","1/13/2013","Dog","Old English Sheepdog / Mix","White / Grey","Yes / Male","10811","Inactive","8/10/2015 1:09:42 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31125","A24762541","Toga","1/13/2007","Dog","Beagle / Mix","Brown / White","Yes / Female","10368","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","9/26/2014","9/26/2017",""
"31128","A24765303","Ruby","8/14/2014","Dog","Retriever, Golden / Mix","Golden","Yes / Female","10370","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31131","A24769676","Rufus","1/14/2007","Dog","Basset Hound / Mix","White","Yes / Male","9104","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","12/23/2013","12/23/2016",""
"31134","A24761218","Montgomery","1/13/2013","Dog","Terrier / Mix","Brown / Black","Yes / Male","10807","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31137","A24634847","Joy","8/2/2014","Dog","Shepherd / Mix","Tan / Black","Yes / Female","6553","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31140","A24765370","Baxter","1/14/2005","Dog","Terrier, Jack Russell / Mix","Brown / White","Yes / Male","10371","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31143","A24767072","Cupcake","1/14/2012","Dog","Beagle / Mix","Black / Brown","Yes / Female","3435","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/26/2014","6/26/2017",""
"31146","A24769893","Maple","1/14/2012","Dog","Pointer / Mix","White / Brown","Yes / Female","9127","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","4/5/2014","4/5/2017",""
"31149","A24773472","Drake","1/15/2009","Dog","Collie, Smooth / Mix","Brown / Black","Yes / Male","10536","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31152","A24776478","Supernat","1/15/2011","Dog","Rhodesian Ridgeback / Boxer","Tan","Yes / Female","10888","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31155","A24776628","Sassy","1/15/2005","Dog","Poodle, Standard / Mix","White","Yes / Female","10892","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","12/1/2013","12/1/2016",""
"31158","A24778431","Lily","1/15/2009","Dog","Shetland Sheepdog / Mix","Brown / White","Yes / Female","10874","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31161","A24781359","Bimini","1/16/2011","Dog","Shih Tzu / Poodle, Standard","White / Black","Yes / Female","10356","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31164","A19270879","Kerfuffle","3/2/2011","Dog","Spaniel, American Cocker / Poodle, Miniature","Beige","Yes / Male","6747","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","1/7/2015","1/7/2018",""
"31167","A24769747","Zia","7/14/2014","Dog","Australian Shepherd / Mix","Grey / Black","Yes / Female","9102","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31170","A24770056","Coco","","Dog","Poodle, Toy / Mix","White","Yes / Female","9123","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","7/9/2014","7/9/2017",""
"31173","A24774285","Calvin","1/15/2002","Dog","Beagle / Mix","Grey","Yes / Male","10373","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31176","A24774520","Barry","1/15/2011","Dog","Basenji / Mix","Blond","Yes / Male","10375","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31179","A24775183","Lucy","1/15/2013","Dog","Catahoula Leopard dog / Mix","Beige / Grey","Yes / Female","10883","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31182","A24776868","Britters","1/15/2014","Dog","Chihuahua, Short Coat / Mix","Black / Tan","Yes / Female","10894","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","2/4/2014","2/4/2017",""
"31185","A23021411","Sassy","10/18/2013","Dog","Chihuahua, Short Coat / Dachshund, Miniature Smooth Haired","Black / Tan","Yes / Female","6011","Current","6/30/2015 12:00:05 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2016","No","*Rabies","6/30/2015","5/26/2018",""
"31188","A24507521","Spice","12/12/2013","Dog","Terrier, American Staffordshire / Mix","Red","Yes / Female","6574","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31191","A24753407","Arlo","1/12/2006","Dog","Terrier / Mix","Blond","Yes / Male","11500","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","11/3/2014","11/3/2017",""
"31194","A24127790","Simon","3/21/2012","Dog","Terrier, American Staffordshire / Mix","Tan","Yes / Male","6552","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/12/2016","No","","","",""
"31197","A24777019","Arya","1/15/2009","Dog","Great Dane / Mix","Fawn","Yes / Female","10895","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31200","A31255503","Bernie","4/6/2014","Dog","Boxer / Mix","Chocolate / White","Yes / Male","6572","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","*Rabies","4/7/2016","4/7/2017","Darryl Lyles"
"31203","A24781540","Snax","1/16/2003","Dog","Terrier, Jack Russell / Mix","Brown / White","Yes / Male","10345","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31206","A24865426","Grace(Jane)","11/29/2014","Dog","Terrier, Staffordshire Bull / Mix","Brindle","Yes / Female","4163","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","1/29/2016","No","","","",""
"31209","A24746836","Karma","6/6/2013","Dog","Terrier, American Staffordshire / Mix","Chocolate / White","Yes / Female","6595","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31212","A22362350","Beatrice","4/1/2013","Dog","Terrier, Staffordshire Bull / Mix","Fawn / White","Yes / Female","7675","Cancelled (No longer owns)","11/9/2015 7:42:38 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","11/9/2016","No","*Rabies","5/21/2015","5/21/2018","Olivia Caldwell"
"31215","A24319380","Fletcher","7/2/2014","Dog","Mastiff / Mix","Tan / White","Yes / Male","6579","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","","6/30/2015","No","","","",""
"31218","A24753300","Kennedy","5/12/2014","Dog","Terrier, Boston","Black / White","Yes / Female","11309","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
"31221","A24761416","Sophie","1/13/2012","Dog","Old English Sheepdog / Mix","White / Grey","Yes / Female","10812","Inactive","8/10/2015 1:05:55 PM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","6/25/2015","6/25/2018",""
"31224","A24770227","Sammy II","1/14/2009","Dog","Poodle, Toy / Mix","White","Yes / Male","9121","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","5/19/2014","5/19/2017",""
"31227","A24773395","Bella","1/15/2005","Dog","Retriever, Labrador / Mix","Black","Yes / Female","10535","Cancelled (Deceased)","7/3/2015 9:33:48 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","LIC Rabies","4/7/2014","4/7/2017",""
"31230","A24778171","Amalie","5/15/2014","Dog","Terrier / Retriever, Labrador","Black / White","Yes / Female","10512","Expired","4/27/2016 1:00:00 AM","Dog License S/N","DC Department of Health","$15.00","1 Years","6/30/2015","No","","","",""
